time,high,low,open,volumefrom,volumeto,close
1745866800,94947.06,94205.09,94231.9,1181.07,111857479.91,94821.85
1745863200,94257.57,93822.74,94122.8,487.67,45853864.77,94231.9
1745859600,94129.07,93534.15,93766.85,1040.19,97560142.24,94122.8
1745856000,94062.87,93481.23,93869.92,1227.84,115107460.25,93766.85
1745852400,94575.65,93627.64,94473.5,1646.06,154553399.06,93869.92
1745848800,94937.41,93890.75,94000.96,1876.79,177408281.89,94473.5
1745845200,95546.74,93964.94,95385.12,1989.77,188563361.05,94000.96
1745841600,95636.66,95115.3,95345.82,812.78,77514153.4,95385.12
1745838000,95573.81,95048.28,95103.06,695.5,66324084.74,95345.82
1745834400,95248.89,94387.62,94774.7,1189.9,112907343.79,95103.06
1745830800,94919.33,94726.16,94749.71,475.95,45135022.55,94774.7
1745827200,94871.42,94642.46,94732.51,310.76,29449124.1,94749.71
1745823600,94829.51,94528.45,94628.34,335.27,31747092.72,94732.51
1745820000,94694.62,94264.84,94264.84,357.21,33747555.53,94628.34
1745816400,94369.59,94013.93,94077.34,404.61,38115018.19,94264.84
1745812800,94205.74,93891.54,93891.54,279.28,26273114.34,94077.34
1745809200,94025.93,93520.45,93654.42,474.75,44534440.05,93891.54
1745805600,93665.28,92944.82,92989.51,783.83,73155303.51,93654.42
1745802000,93631.77,92864.35,93453.94,1617.45,150684106.88,92989.51
1745798400,93826.71,93328.58,93777.44,1261.63,118040892.43,93453.94
1745794800,93974.16,93694.19,93974.16,358.67,33646415.14,93777.44
1745791200,94374.26,93680.16,94365.35,691.37,64987385.3,93974.16
1745787600,94570.5,94203.89,94301.42,331.15,31262667.12,94365.35
1745784000,94466.6,94294.55,94459.12,186.03,17555651.13,94301.42
1745780400,94465.65,94240.7,94319.11,225.41,21270723.24,94459.12
1745776800,94440.07,94030.75,94080.65,256.65,24192736.79,94319.11
1745773200,94182.3,93844.74,93908.08,297.69,27994108.05,94080.65
1745769600,93958.53,93759.34,93936.0,255.4,23973398.75,93908.08
1745766000,94034.22,93835.96,94021.7,185.05,17380042.1,93936.0
1745762400,94204.71,93978.93,94098.15,334.19,31432955.73,94021.7
1745758800,94118.44,93671.22,93784.35,491.63,46154556.47,94098.15
1745755200,94005.37,93729.64,93951.6,468.28,43947571.11,93784.35
1745751600,94111.32,93918.9,94077.17,148.91,13997656.44,93951.6
1745748000,94210.98,93973.81,94190.7,142.52,13407827.09,94077.17
1745744400,94252.99,94145.26,94246.88,98.66,9293060.47,94190.7
1745740800,94348.68,94056.88,94101.07,148.83,14023330.89,94246.88
1745737200,94160.64,93967.83,94047.49,97.81,9202747.92,94101.07
1745733600,94121.41,93910.44,93948.81,153.96,14474780.95,94047.49
1745730000,94197.48,93688.51,94054.17,495.69,46564583.17,93948.81
1745726400,94320.64,94047.47,94195.08,195.53,18413894.16,94054.17
1745722800,94489.42,94175.1,94371.41,228.4,21538571.97,94195.08
1745719200,94499.65,94124.42,94168.88,321.24,30302818.42,94371.41
1745715600,95346.43,94104.59,94916.32,1149.59,108900864.52,94168.88
1745712000,95013.92,94628.23,94663.66,451.31,42820879.76,94916.32
1745708400,94925.61,94611.41,94825.57,335.61,31799478.48,94663.66
1745704800,94833.55,94401.23,94401.25,512.34,48498227.55,94825.57
1745701200,94401.77,94146.81,94147.15,224.99,21220616.75,94401.25
1745697600,94415.42,94139.79,94346.32,304.65,28722707.7,94147.15
1745694000,94364.25,94141.75,94186.91,336.03,31661431.69,94346.32
1745690400,94414.26,94161.24,94361.45,379.18,35731805.0,94186.91
1745686800,94400.99,94267.03,94330.21,188.72,17804011.13,94361.45
1745683200,94419.02,94084.46,94414.77,351.92,33174186.28,94330.21
1745679600,94438.99,94224.72,94278.2,276.89,26126407.19,94414.77
1745676000,94301.52,93957.14,94182.29,350.93,33031760.38,94278.2
1745672400,94333.42,93916.48,94280.72,488.63,45980935.7,94182.29
1745668800,94362.89,94150.56,94182.29,246.3,23218815.84,94280.72
1745665200,94288.8,94040.08,94250.45,298.35,28094909.29,94182.29
1745661600,94428.29,94188.56,94307.41,159.8,15070647.9,94250.45
